LABELS
#use this template to change the leaf labels, or define/change the internal node names (displayed in mouseover popups)

#lines starting with a hash are comments and ignored during parsing

#=================================================================#
#                    MANDATORY SETTINGS                           #
#=================================================================#
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file (except in the SEPARATOR line, which uses space).

SEPARATOR TAB
#SEPARATOR SPACE
#SEPARATOR COMMA

#Internal tree nodes can be specified using IDs directly, or using the 'last common ancestor' method described in iTOL help pages
#=================================================================#
#       Actual data follows after the "DATA" keyword              #
#=================================================================#
DATA
#NODE_ID,LABEL

#Examples
#defined a name for an internal node
KPKCHIKD	PRES01F02_bin.100
LCMNBGJP	PRES01F02_bin.101
DCMFGOLM	PRES01F02_bin.102
DEANLBAM	PRES01F02_bin.103
LAKBACDP	PRES01F02_bin.104
APBGMJED	PRES01F02_bin.105
EKKFGPON	PRES01F02_bin.106
CGFOCMIN	PRES01F02_bin.107
CBBEBDCA	PRES01F02_bin.108
EJGDINMB	PRES01F02_bin.109
KIOAEHLO	PRES01F02_bin.10
APJFJGMP	PRES01F02_bin.110
AFJFEEKB	PRES01F02_bin.111
KNGGFOGF	PRES01F02_bin.112
JPHJIEDJ	PRES01F02_bin.113
OLPMJDOB	PRES01F02_bin.114
MFKHKCFL	PRES01F02_bin.115
PMDNNKCE	PRES01F02_bin.116
PGCBINKA	PRES01F02_bin.117
PMDCDHGH	PRES01F02_bin.118
AHFOOHAN	PRES01F02_bin.119
ABJBCGGH	PRES01F02_bin.11
NKNKIDBN	PRES01F02_bin.120
IFHBHEDB	PRES01F02_bin.121
KKIHMLKJ	PRES01F02_bin.122
CJGLAEOE	PRES01F02_bin.123
CECKOEOL	PRES01F02_bin.124
EINCBLBF	PRES01F02_bin.125
BIKILGIL	PRES01F02_bin.126
AJDKKBBC	PRES01F02_bin.127
LKHCCGGM	PRES01F02_bin.128
DFEPNOMD	PRES01F02_bin.129
EJDIHDEC	PRES01F02_bin.12
JAHJHEAO	PRES01F02_bin.130
KDEJOKEH	PRES01F02_bin.131
KOPBEFCE	PRES01F02_bin.132
EOGEFBGC	PRES01F02_bin.133
JBLBDBJN	PRES01F02_bin.134
LLDEJMDH	PRES01F02_bin.135
FKEPMGPB	PRES01F02_bin.136
LJMGHBFK	PRES01F02_bin.137
NOGJEEMD	PRES01F02_bin.138
DBLPJEPI	PRES01F02_bin.139
ENBKALNO	PRES01F02_bin.13
NAMFAJMJ	PRES01F02_bin.140
MFFLPDJD	PRES01F02_bin.141
KABICFFC	PRES01F02_bin.142
MNOKAJAL	PRES01F02_bin.143
AKELKOPB	PRES01F02_bin.144
KAKCCOJB	PRES01F02_bin.145
ILGGMEBL	PRES01F02_bin.146
JILBFHHK	PRES01F02_bin.147
PKEFOHJF	PRES01F02_bin.148
DGNILBIE	PRES01F02_bin.149
IILKOADJ	PRES01F02_bin.14
GDPBGLED	PRES01F02_bin.150
NPMLDCNN	PRES01F02_bin.151
IIONIHNA	PRES01F02_bin.152
ENLEPINE	PRES01F02_bin.153
